"review",label
"This product is great! I loved it and would buy again.",0
"Terrible product, it broke after one use.",1
"Amazing quality, really satisfied with the purchase.",0
"Do not buy this, it is a waste of money.",1
"Best purchase I ever made, highly recommended!",0
"Worst product ever, completely useless.",1
"Superb! Exceeded all my expectations.",0
"Not worth the price, very disappointed.",1
"I’m in love with this! Excellent quality.",0
"Completely dissatisfied, it stopped working in a week.",1
"Comprises of all the fundamentals necessary at a university level",1
"The book has lucidly described the very basics of astronomy. The fundamental concepts are discussed in clear cut and with unambiguous notion. Mathematics has been used wherever necessary. The overall rating is very good and is worth buying.",1
"This is an excellent review of many important topics of Astronomy. Some astronomy resources can be too elementary and suffer from lack of rigor, while some resources for astrophysics and cosmology can be poorly written (terrible explanations of topics) and very daunting. This Schaum’s Outline for Astronomy by Stacey Palen is well-written, with excellent and succinct explanations of sometimes difficult topics. Illustrations throughout the book support the concepts that are covered and the calculations are well-explained and accessible. Five stars. Definitely recommended for students of astronomy!",1
"Could do with an update regarding recent discoveries, but excellent otherwise!",1
"Good quality product. Working perfectly and keeping car to clean glass area. But its pricey.",1
"Nice stitched. No ironing required. Stylish. Best summer wear.",1
"there is no lining on top part and top part is transparent. Fabric is also not that good. Strands of fabric are coming after one wash. It lost its grace after one wash only.",0
"Redmi tablet was not started ...I have purchased but worst experience...they said to charge for some time but still its not working...I returned that product to Amazon but their pick up man said give me imei no...I informed him to take it from label on tablet...but he said start that tablet and give it otherwise I don't do return process...what should I do in that case...and he was so rude he ran away without return...waiting for positive reply from Amazon",1
"Very nice product.",0
"Great freedom offer is nice Nice Mobile good camera facility ..Redmi is a good company ..Good delivery Amazon app nice",0
"It has been used for 1 month so no lagging no hanging. Battery backup is also good. Camera and video quality also Good.Under 10k u can go for 5G phone",1
"Good",0
"Awesome quality and very comfortable looks amazing, the fabric is very good , loved this dress u must buy this dress",0
"Very comfy, everyday wear dress perfect for summer. Recommend worth buying 😍😍😍😍😍😍😍😍😍🤌I love the length n fit and soft",0
"I like the simplicity of Sudha Murthy's book. Anyone can read it and understand it... Her language is simple. Talks about simple lessons which are very important in our lives basically we ignore or never think about it. She is an inspiration to many",1
"it's amazing",0
"Fast response",0
"The description says that the pages are very thick, and they are not, it’s just a regular office paper, nothing special and thick",1
"I ordered two and they arrived totally damaged. They should protect and treat better the products",1
"really nice notebook, lovely lots of pages, beautiful thank you",0
"really nice notebook",0
"100%, satisfied 👍",0
"It’s nice",0
"it is a nice notepad, it is a nice notepad, it is a nice notepad, it is a nice notepad, it is a nice notepad, it is a nice notepad, it is a nice notepad, just what was needed, just what was needed, it is a nice notepad, it is a nice notepad, great size and value",0
"Once my daughter liked it and enjoyed it easy to use and ski quickly my daughter perfected it although it is the first time I use it I strongly recommend it but it is necessary to buy pieces that talk about the knees and the head",1
"You sent me his size is big and I want small and I didn't like his Modal is not nice",1
"very good product",0
"it is so bad",0
"quality not so good",0
"They’re not as described. Sound quality is bad. One of the earphones is louder than the other",1
"I receive it very quickly, but I’m not really satisfied with it!The battery down no more than one hour, even if it’s full .The sound is not so good !I don’t really recommend",1
"Wrong items wery bad",0
"I am extremely disappointed with my purchase. The product images were very misleading; the jewelry was shown in a beautiful jewelry box, but it arrived in cheap mini-pocket bags. The packaging was absolutely ridiculous and unworthy of the price I paid. To make matters worse, not all the earrings and necklaces displayed in the picture were included in the delivery, which feels like a total rip-off. The quality of the items I did receive was shockingly poor—they look nothing like the images and feel very low quality. I expected much better and am not happy with this purchase at all. I would not recommend buying from this seller",1
"very disappointed! necklaces were damaged and tangled up",1
"Low quality, cracking up lips and not smooth on lips",1
"Great quality, long losting smooth application. lovely pigment, really nice smell, smelt like watermelon 🍉 I would highly recommend these lipsticks 💄",1
"It has beautiful colors and once dry you can see that they hold up quite a bit",1
"well received I have tried no effect yet after 4 days have in time",1
"It leaves a very pleasant feeling on the skin. It smells gorgeous. It feels like it has a cooling effect",1
"easy to use",0
"Great hair product, Nice item thank you, super article, perfect, perfect needed another on sold out",0
"Nice item thank you",0
"Great hair product",0
"It’s a very nice item fits perfectly. The shoelaces don’t come attached. You have to put them but overall they’re so nice and they come with like a little screw so if anything happens or if the wheels come off, you can tighten them or you can put them back overall it’s so nice",1
"this is the worst item that I ever bought. it does not stick at all. I DO NOT RECOMMEND",0
"They all arrived in the same plastic baggie, I don't know if that's the most ideal but everything arrived perfect and without any problem, they look good but I still have to try them",1
"Very good for playing games, its great for those who have sweaty fingers",1
"Prevents sweat well when playing games on your phone",1
"If this is your first time using retinol then don't use this every night, only a few times a week and then build up. Seems good. I use a moisturiser on top",1
"Good",0
"Great, smells lovely",0
"i used this product one 5 or 7 times. but this is not looking natural on screen. totally not worked as per description",1
"it is nice product it’s reduced the stretch marks",0
"Fake product",0
"The product seems original, genuine, but the seal was not there. It looks like it was opened before. Quality feels like not right",1
"perfect as described",0
"Dislike",0
"Bad product and horrible finish drawers don't close properly",1
"This chopper by pigeon is one of the worst and most hopeless chopper available. I wasted my money completely. My sister bought a small size I bought 900ml both stopped working on the very first day. Since I had used a similar chopper from a different company I knew how to repair. I opened the top and saw that they have used a third class plastic material. Do not buy this chopper from Pigeon!!",1
